"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id"
"L1A","20260130_2378","20260130_2378_19691_4","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19691_5","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19692_0","","","0","","L1"
"L1A","20260130_2378","20260130_2378_19692_1","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14657_0","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14657_1","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14657_2","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14657_3","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14657_4","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14657_5","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14657_6","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14657_7","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14657_8","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14657_9","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14657_10","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14657_11","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14658_0","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14658_1","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14658_2","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14658_3","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14658_4","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14658_5","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14658_6","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14658_7","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14658_8","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14658_9","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14659_0","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14659_1","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14659_2","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14659_3","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14659_4","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14659_5","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14659_6","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14659_7","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14659_8","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14659_9","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14659_10","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14660_0","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14660_1","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14660_2","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14660_3","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14660_4","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14660_5","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14660_6","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14660_7","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14660_8","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14660_9","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14661_0","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14661_1","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14661_2","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14661_3","","","0","","L1"
"L1A","20260131_1743","20260131_1743_14661_4","","","0","","L1"
