station_name,line,lat,lon
Plaça de Catalunya (FGC),Unknown,41.3856661,2.1683855
Plaça de Sants,L1,41.3753933,2.1377409
Plaça de Sants,L5,41.3757624,2.1351823
Plaça del Centre,L3,41.3819231,2.1359048
Poble Sec,L3,41.3749709,2.160581
Poblenou,L4,41.4037049,2.2033841
Port Comercial | La Factoria,L10 Sud,41.3359288,2.1407136
Provença,L6,41.392865,2.1579644
Provença,L7,41.392865,2.1579644
Provença,S1,41.3928867,2.1579915
Provença,S2,41.392865,2.1579644
Provença,Unknown,41.3928867,2.1579915
Provençana,L10 Sud,41.3614043,2.1242613
Pubilla Cases,L5,41.3738194,2.1070494
Pàdua,L7,41.4032843,2.1430466
Rambla Just Oliveras,L1,41.3640154,2.09979
Reina Elisenda,L12,41.3987666,2.1190607
Rocafort,L1,41.3792273,2.1545316
Roquetes,L3,41.4472929,2.1758397
Rubí Centre,S1,41.4862022,2.0317311
Rubí Centre,Unknown,41.4861609,2.0317031
Sabadell Nord,S2,41.5609827,2.0966325
Sabadell Plaça Major,S2,41.5471222,2.1087161
Sagrada Família,L2,41.403972,2.1750985
Sagrada Família,L5,41.4040512,2.1738598
Sant Andreu,L1,41.4366191,2.1911018
Sant Antoni,L2,41.3797847,2.1633175
Sant Boi,L8,41.3484145,2.0430676
Sant Cugat Centre,S1,41.468156,2.0782612
Sant Cugat Centre,S2,41.4675471,2.0782279
Sant Cugat Centre,Unknown,41.4675471,2.0782279
Sant Gervasi,L6,41.4010463,2.1471173
Sant Gervasi,S1,41.4010942,2.1471008
Sant Gervasi,S2,41.4010463,2.1471173
Sant Gervasi,Unknown,41.4010942,2.1471008
Sant Ildefons,L5,41.3633673,2.0843145
Sant Joan,S2,41.490046,2.0760576
Sant Joan,Unknown,41.490046,2.0760576
Sant Josep,L8,41.3608295,2.1104105
Sant Martí,L2,41.4190889,2.2006949
Sant Pau | Dos de Maig,L5,41.4107276,2.1759359
Sant Quirze,S2,41.5293945,2.0883955
Sant Roc,L2,41.435312,2.2278021
Santa Coloma,L1,41.4510854,2.2079508
Santa Eulàlia,L1,41.3688046,2.1285567
Santa Rosa,L9 Nord,41.446799,2.215745
Sants Estació,L3,41.3814306,2.1411663
Sants Estació,L5,41.3799423,2.140322
Sarrià,L12,41.3984719,2.1255406
Sarrià,S1,41.3986044,2.1257024
Sarrià,S2,41.3985129,2.1255863
Sarrià,Unknown,41.3986044,2.1257024
Selva de Mar,L4,41.408044,2.2092038
Singuerlín,L9 Nord,41.4593754,2.2054397
Tarragona,L3,41.3784645,2.1453145
Terrassa Estació del Nord,S1,41.570934,2.0157551
Terrassa Nacions Unides,S1,41.5803427,2.0133901
Tetuan,L2,41.3948202,2.1756085
Torras i Bages,L1,41.4431277,2.1906701
Torrassa,L1,41.3684167,2.1166305
Torrassa,L10 Sud,41.3679987,2.1156401
Torrassa,L9 Sud,41.3680058,2.115581
Torre Baró | Vallbona,L11,41.4591981,2.1799472
Trinitat Nova,L11,41.4492048,2.1823799
Trinitat Nova,L3,41.4493203,2.1845021
Trinitat Nova,L4,41.4491591,2.1824661
Trinitat Vella,L1,41.4487247,2.1936249
Universitat,L1,41.3858711,2.1646148
Universitat,L2,41.3847222,2.1639576
Universitat Autònoma,S2,41.5025439,2.1021646
Universitat Autònoma,Unknown,41.5025439,2.1021646
Urgell,L1,41.3824954,2.1588763
Urquinaona,L1,41.3896419,2.174395
Urquinaona,L4,41.3880381,2.1732975
Vall d’Hebron | Sant Genís,L3,41.4247903,2.1423602
Vall d’Hebron | Sant Genís,L5,41.4249293,2.1425432
Vallcarca,L3,41.411927,2.144507
Valldaura,L3,41.4379957,2.1569711
Valldoreix,S1,41.458253,2.0684424
Valldoreix,S2,41.4577167,2.0683053
Valldoreix,Unknown,41.458253,2.0684424
Vallparadís Universitat,S1,41.5640168,2.0193691
Verdaguer,L4,41.4004346,2.1679179
Verdaguer,L5,41.3988422,2.1668967
Verneda,L2,41.4299136,2.2097305
Via Júlia,L4,41.4437703,2.1785329
Vilapicina,L5,41.4304252,2.1681746
Virrei Amat,L5,41.4296475,2.1749158
Volpelleres,S2,41.4803626,2.0733252
Volpelleres,Unknown,41.4803626,2.0733252
ZAL | Riu Vell,L10 Sud,41.323725,2.1331944
Zona Franca,L10 Sud,41.3429754,2.145045
Zona Universitària,L3,41.3841518,2.1113913
Zona Universitària,L9 Sud,41.383912,2.1114278
el Carmel,L5,41.4244011,2.155139
el Clot,L1,41.4101801,2.1868931
el Clot,L2,41.410316,2.1867206
el Putxet,L7,41.4058005,2.139121
la Bonanova,L6,41.3977612,2.1361556
la Bonanova,S1,41.3978128,2.1361523
la Bonanova,S2,41.3977612,2.1361556
la Bonanova,Unknown,41.3978128,2.1361523
