network,transport_type,stop_name,lat,lon,lines,cor_metro_bilbao,cor_metro_madrid,cor_fgc,cor_renfe_cercanias,cor_euskotren,platform_coords_by_line
Renfe Cercanías,cercanias,Pitis,40.495417,-3.726160,C7; C8a; C8b,,,,,,"C7:[40.495417,-3.726160]; C8a:[40.495417,-3.726160]; C8b:[40.495417,-3.726160]"
Renfe Cercanías,cercanias,Mirasierra-Paco De Lucía,40.499759,-3.709251,C7; C8a; C8b,,,,,,"C7:[40.499759,-3.709251]; C8a:[40.499759,-3.709251]; C8b:[40.499759,-3.709251]"
Renfe Cercanías,cercanias,Madrid-Ramón Y Cajal,40.488147,-3.694804,C7; C8a; C8b,,,,,,"C7:[40.488147,-3.694804]; C8a:[40.488147,-3.694804]; C8b:[40.488147,-3.694804]"
Renfe Cercanías,cercanias,Fuente De La Mora,40.484720,-3.663061,C1; C2,,,,,,"C2:[40.484720,-3.663061]; C1:[40.484720,-3.663061]"
Renfe Cercanías,cercanias,Valdebebas,40.482102,-3.616287,C1,,,,,,"C1:[40.482102,-3.616287]"
Renfe Cercanías,cercanias,Madrid-Aeropuerto T4,40.492402,-3.593230,C1,,Aeropuerto T4 (76m),,,,"C1:[40.492402,-3.593230]"
Metro Madrid,metro,Intercambiador de Plaza de Castilla,40.466900,-3.689200,1; 10; 9,,,,,,"1:[40.466900,-3.689170]; 9:[40.466900,-3.689130]; 10:[40.466900,-3.689090]"
Metro Madrid,metro,Chamartín,40.472100,-3.682690,1; 10,,,,Madrid-Chamartín-Clara Campoamor (104m),,"1:[40.472030,-3.682590]; 10:[40.472100,-3.682590]"
Metro Madrid,metro,Atocha-Renfe,40.406590,-3.689440,1,,,,Madrid-Atocha Cercanías (3m),,"1:[40.406590,-3.689380]"
Metro Madrid,metro,Puerta del Sol,40.416880,-3.703310,1; 2,,,,Sol (36m),,"1:[40.416880,-3.703260]; 2:[40.416850,-3.703260]"
Metro Madrid,metro,TRIBUNAL,40.426190,-3.701100,10,,,,,,"10:[40.426000,-3.702080]"
Metro Madrid,metro,GRAN VIA,40.420010,-3.701800,5,,,,,,"5:[40.419990,-3.701800]"
Metro Madrid,metro,PACIFICO,40.401260,-3.675140,6,,,,,,"6:[40.402070,-3.673860]"
Metro Madrid,metro,PINAR DE CHAMARTIN,40.480140,-3.666800,4,,,,,,"4:[40.480140,-3.666760]"
Metro Madrid,metro,CUATRO CAMINOS,40.446970,-3.703970,2; 6,,,,,,"2:[40.446970,-3.703920]; 6:[40.446970,-3.703870]"
Metro Madrid,metro,BILBAO,40.429060,-3.702180,4,,,,,,"4:[40.428850,-3.701140]"
Metro Madrid,metro,VENTAS,40.430880,-3.663660,5,,,,,,"5:[40.430880,-3.663610]"
Metro Madrid,metro,MANUEL BECERRA,40.427900,-3.669260,6,,,,,,"6:[40.427900,-3.669210]"
Metro Madrid,metro,GOYA,40.424550,-3.675910,4,,,,,,"4:[40.424810,-3.676850]"
Metro Madrid,metro,PRINCIPE DE VERGARA,40.422940,-3.680120,9,,,,,,"9:[40.424180,-3.680240]"
Metro Madrid,metro,OPERA,40.418090,-3.709420,5; R,,,,,,"5:[40.418090,-3.709350]; R:[40.418090,-3.709280]"
Metro Madrid,metro,SAN BERNARDO,40.430010,-3.705570,4,,,,,,"4:[40.429660,-3.705670]"
Metro Madrid,metro,CANAL,40.438410,-3.704330,7,,,,,,"7:[40.438700,-3.704890]"
Metro Madrid,metro,Intercambiador de Moncloa,40.435230,-3.719190,6,,,,,,"6:[40.434970,-3.719450]"
Metro Madrid,metro,LEGAZPI,40.391160,-3.695110,6,,,,,,"6:[40.391160,-3.695050]"
Metro Madrid,metro,CALLAO,40.420140,-3.705660,5,,,,,,"5:[40.420080,-3.705660]"
Metro Madrid,metro,PLAZA DE ESPAÑA,40.423420,-3.711200,10,,,,,,"10:[40.424090,-3.709700]"
Metro Madrid,metro,ARGÜELLES,40.430660,-3.715960,4; 6,,,,,,"4:[40.430600,-3.715960]; 6:[40.430530,-3.715960]"
Metro Madrid,metro,Intercambiador de Avenida de América,40.438030,-3.676690,4; 6; 7; 9,,,,,,"4:[40.438030,-3.676640]; 6:[40.438040,-3.676580]; 7:[40.438040,-3.676530]; 9:[40.438040,-3.676470]"
Metro Madrid,metro,ALONSO MARTINEZ,40.427720,-3.695940,10; 5,,,,,,"5:[40.428280,-3.695020]; 10:[40.428530,-3.696430]"
Metro Madrid,metro,DIEGO DE LEON,40.434680,-3.674950,5; 6,,,,,,"5:[40.432350,-3.674260]; 6:[40.432950,-3.672940]"
Metro Madrid,metro,MAR DE CRISTAL,40.469430,-3.638320,8,,,,,,"8:[40.469380,-3.638320]"
Metro Madrid,metro,Aluche,40.385630,-3.760850,5,,,,Aluche (10m),,"5:[40.385630,-3.760800]"
Metro Madrid,metro,CASA DE CAMPO,40.403240,-3.761010,10,,,,,,"10:[40.403210,-3.761010]"
Metro Madrid,metro,PUEBLO NUEVO,40.435690,-3.642820,7,,,,,,"7:[40.435660,-3.642820]"
Metro Madrid,metro,NUÑEZ DE BALBOA,40.432780,-3.682580,9,,,,,,"9:[40.430130,-3.679360]"
Metro Madrid,metro,OPORTO,40.388460,-3.731320,6,,,,,,"6:[40.388470,-3.731260]"
Metro Madrid,metro,Méndez Álvaro Estación Sur,40.395380,-3.678190,6,,,,Méndez álvaro P.v. (52m),,"6:[40.395380,-3.678140]"
Metro Madrid,metro,Intercambiador de Príncipe Pío,40.421070,-3.720370,10; 6; R,,,,Madrid-Príncipe Pío (127m),,"6:[40.421070,-3.720320]; 10:[40.421030,-3.720330]; R:[40.420990,-3.720330]"
Metro Madrid,metro,Intercambiador de Plaza Elíptica,40.384600,-3.718480,11; 6,,,,,,"6:[40.384600,-3.718370]; 11:[40.384600,-3.718250]"
Metro Madrid,metro,Nuevos Ministerios,40.446620,-3.692460,10; 6; 8,,,,Madrid-Nuevos Ministerios (9m),,"6:[40.446620,-3.692410]; 8:[40.446550,-3.692410]; 10:[40.446590,-3.692410]"
Metro Madrid,metro,SAINZ DE BARANDA,40.415070,-3.669510,9,,,,,,"9:[40.415030,-3.669510]"
Metro Madrid,metro,GUZMAN EL BUENO,40.446370,-3.712290,7,,,,,,"7:[40.446330,-3.712290]"
Metro Madrid,metro,GREGORIO MARAÑON,40.438250,-3.691480,10,,,,,,"10:[40.437530,-3.691270]"
Metro Madrid,metro,Aeropuerto T4,40.491760,-3.593560,8,,,,Madrid-Aeropuerto T4 (76m),,"8:[40.491770,-3.593250]"
Metro Madrid,metro,Aeropuerto T1 - T2 - T3,40.468640,-3.569650,8,,,,,,"8:[40.468640,-3.569540]"
Metro Madrid,metro,COLOMBIA,40.456340,-3.676820,9,,,,,,"9:[40.457490,-3.676940]"
Metro Madrid,metro,PUERTA DEL SUR,40.345240,-3.812110,12,,,,,,"12:[40.345430,-3.812490]"
