network,station_name,station_lat,station_lon,lines,num_platforms,platform_coords
Euskotren,Europa,42.852541,-2.680251,,2,"42.852541,-2.680251|42.852541,-2.680251"
Euskotren,Euskal Herria,42.858060,-2.685054,,2,"42.85806,-2.685054|42.85806,-2.685054"
Euskotren,Euskalduna,43.266261,-2.943894,,2,"43.266261,-2.943894|43.266261,-2.943894"
Euskotren,Fanderia-Errenteria,43.308228,-1.889437,,2,"43.308263,-1.889238|43.308263,-1.889238"
Euskotren,Ficoba-Irun,43.349495,-1.786201,,1,"43.348964,-1.786877"
Euskotren,Florida,42.842071,-2.665088,,2,"42.842071,-2.665088|42.842071,-2.665088"
Euskotren,Forondako Atea/Portal De Foronda,42.862903,-2.684497,,2,"42.862903,-2.684497|42.862903,-2.684497"
Euskotren,Forua,43.332384,-2.673426,,1,"43.332041,-2.673636"
Euskotren,Gaintxurizketa-Lezo,43.326710,-1.857557,,2,"43.326663,-1.857643|43.326637,-1.857836"
Euskotren,Galtzaraborda-Errenteria,43.312407,-1.906850,,2,"43.312364,-1.906789|43.312398,-1.906808"
Euskotren,Gernika,43.314559,-2.676106,,3,"43.314085,-2.676208|43.313931,-2.676154|43.313931,-2.676154"
Euskotren,Gernikako Arbola,42.864820,-2.680860,,2,"42.86482,-2.68086|42.86482,-2.68086"
Euskotren,Guggenheim,43.268700,-2.936763,,2,"43.2687,-2.936763|43.2687,-2.936763"
Euskotren,Hegoalde,42.838825,-2.666329,,2,"42.838825,-2.666329|42.838825,-2.666329"
Euskotren,Hendaia,43.352637,-1.781958,,2,"43.352477,-1.782269|43.352477,-1.782269"
Euskotren,Herrera-Donostia,43.319883,-1.937971,,2,"43.319817,-1.938105|43.319817,-1.938105"
Euskotren,Honduras,42.857247,-2.681146,,2,"42.857247,-2.681146|42.857247,-2.681146"
Euskotren,Hospital/Ospitalea,43.259796,-2.951244,,2,"43.259796,-2.951244|43.259796,-2.951244"
Euskotren,Ibaiondo,42.864798,-2.702087,,2,"42.864798,-2.702087|42.864798,-2.702087"
Euskotren,Iliada,42.843377,-2.651488,,2,"42.843377,-2.651488|42.843377,-2.651488"
Euskotren,Institutoa-Gernika,43.319882,-2.676842,,1,"43.31991,-2.676826"
Euskotren,Intermodal,42.860360,-2.682798,,2,"42.86036,-2.682798|42.86036,-2.682798"
